id,date,type,caption_sample,duration,file_size,file_name,file_path,download,clone
395,2023-09-08 04:20:27,video,,55,3911572,AgAD4QsAApue8FY,,0,0
394,2023-09-08 04:20:27,video,,612,42898307,AgADRgwAAjZk4FY,,0,0
393,2023-09-08 04:20:27,video,,5124,112691633,AgAD0Q8AAqMcyVI,,0,0
392,2023-09-08 04:20:27,video,,704,38801833,AgADPBEAArUNyVI,,0,0
391,2023-09-08 04:20:27,video,,2040,45166669,AgADWA8AAhGHqVI,,0,0
390,2023-09-08 04:20:27,video,,1074,285817073,AgADhgsAAjMuYFY,,0,0
389,2023-09-08 04:20:27,video,,1549,168777467,AgADEAMAApHrmEY,,0,0
388,2023-09-08 04:20:27,video,,1494,81936023,AgAEEAACrBKJUg,,0,0
387,2023-09-08 04:20:27,video,,6106,439102603,AgADVQIAAt6wiEY,,0,0
386,2023-09-08 04:20:27,video,,3877,669149820,AgADOwQAAr0XiEY,,0,0
385,2023-09-08 04:20:26,video,,7159,1056905803,AgAD6gIAAr0XiEY,,0,0
384,2023-09-05 00:47:14,video,,55,12784096,AgADuQgAAkP7uFc,,0,0
383,2023-09-04 14:00:56,video,,112,10828694,AgAD9QoAArSRUFY,,0,0
382,2023-09-04 14:00:56,video,,60,9897583,AgAD9AoAArSRUFY,,0,0
381,2023-07-18 12:14:39,video,,61,16308477,AgADTgsAAnhBsVU,,0,0
380,2023-07-15 06:39:29,text,https://t.me/tangoli,0,0,,,0,0
379,2022-08-17 01:44:52,video,,124,19031163,AgADZwUAAuQ14Fc,,0,0
378,2022-08-17 01:44:46,video,,176,28525104,AgADZgUAAuQ14Fc,,0,0
377,2022-08-11 00:15:50,video,,135,21333315,AgADHgkAAjn2mVc,,0,0
376,2022-08-10 16:22:29,video,,183,26690526,AgADkAYAAhi1mFc,,0,0
375,2022-08-10 16:22:06,video,,151,23207217,AgADagYAAhi1mFc,,0,0
374,2022-08-10 16:21:52,video,,86,16102357,AgADGwkAAjn2mVc,,0,0
373,2022-08-10 16:21:24,video,,67,8923893,AgADBAkAAjn2mVc,,0,0
372,2022-08-08 10:10:32,video,,80,12076930,AgADFQcAAqJjiFc,,0,0
371,2022-08-08 10:09:36,video,,183,26690758,AgADEgcAAqJjiFc,,0,0
370,2022-08-08 09:59:03,video,,98,15349948,AgADZgYAAoRziFc,,0,0
369,2022-08-01 08:29:36,video,,51,7636849,AgADQQUAAlrQMVc,,0,0
368,2022-07-31 12:13:42,video,,77,277785192,AgADUwsAArStKVM,,0,0
367,2022-07-29 15:23:25,video,,73,11117330,AgADjAcAAprvIVc,,0,0
366,2022-07-29 00:48:31,video,,73,11592393,AgADEQcAAlPsGFc,,0,0
365,2022-07-28 02:31:01,video,,84,12723085,AgADSg4AAl9AEFM,,0,0
364,2022-07-26 12:33:25,video,,97,14642533,AgADlQwAAmmFAAFT,,0,0
363,2022-07-26 12:32:18,video,,112,17631001,AgADkwwAAmmFAAFT,,0,0
362,2022-07-24 14:19:10,video,,195,29105866,AgADMw4AAnl86FI,,0,0
361,2022-07-24 14:18:47,video,,63,9570504,AgADyQcAAkJz6FY,,0,0
360,2022-07-24 10:18:55,video,,48,7520381,AgADMQ4AAnl86FI,,0,0
359,2022-07-24 10:18:06,video,,128,19108587,AgADMA4AAnl86FI,,0,0
358,2022-07-24 10:17:38,video,,12,12185909,AgADIgYAAt6c2VY,,0,0
357,2022-07-24 08:19:05,video,,67,115667870,AgADVgcAAuSX6VY,,0,0
356,2022-07-24 08:18:28,video,,41,12157707,AgADDAkAAt1a6VY,,0,0
355,2022-07-23 09:50:07,video,,63,39822189,AgADLQYAAqxU2VY,,0,0
354,2022-07-23 09:49:53,video,,64,54205413,AgADLAYAAqxU2VY,,0,0
353,2022-07-23 09:49:36,video,,21,18072559,AgADKwYAAqxU2VY,,0,0
352,2022-07-23 09:49:31,video,,57,48302612,AgADKgYAAqxU2VY,,0,0
351,2022-07-23 09:49:14,video,,53,44782101,AgADKQYAAqxU2VY,,0,0
350,2022-07-23 09:48:56,video,,104,87176555,AgADKAYAAqxU2VY,,0,0
349,2022-07-23 03:36:04,video,,49,41459649,AgADsw8AAp302FI,,0,0
348,2022-07-23 03:21:09,video,,81,51332922,AgAD2QUAAqxU2VY,,0,0
347,2022-07-23 03:20:45,video,,39,54718973,AgAD9gUAAt1a2VY,,0,0
346,2022-07-23 03:18:48,video,,30,19311403,AgAD2AUAAqxU2VY,,0,0
345,2022-07-23 00:17:53,video,,48,7403841,AgADpw8AAp302FI,,0,0
344,2022-07-23 00:17:36,video,,37,6061635,AgADpg8AAp302FI,,0,0
343,2022-07-23 00:17:33,video,,38,5744374,AgADpQ8AAp302FI,,0,0
341,2022-07-22 15:30:40,video,,47,7524619,AgADwCAAAg6A0FI,,0,0
340,2022-07-22 15:30:40,video,,36,5581291,AgADvyAAAg6A0FI,,0,0
339,2022-07-22 03:38:59,video,,50,52099728,AgADewYAAt6c2VY,,0,0
338,2022-07-22 01:34:10,video,,40,6259945,AgAD9AQAAo9L0FY,,0,0
337,2022-07-22 00:43:24,video,,58,9423783,AgAD8A0AAgYJyVI,,0,0
336,2022-07-22 00:43:05,video,,56,8923624,AgAD8Q0AAgYJyVI,,0,0
335,2022-07-22 00:42:48,video,,40,6083651,AgAD6w0AAgYJyVI,,0,0
334,2022-07-22 00:42:41,video,,86,13262405,AgAD7A0AAgYJyVI,,0,0
333,2022-07-21 14:02:48,video,,22,3317467,AgADRQYAAo9LyFY,,0,0
332,2022-07-21 14:02:36,video,,42,6447963,AgADRAYAAo9LyFY,,0,0
331,2022-07-21 13:30:09,video,,65,9995583,AgADQQYAAo9LyFY,,0,0
330,2022-07-21 13:28:15,video,,71,44979123,AgADPwYAAo9LyFY,,0,0
329,2022-07-21 01:50:03,video,,188,28420822,AgADJAUAAtghyVY,,0,0
328,2022-07-21 01:22:41,video,,22,3392648,AgADGwUAAtghyVY,,0,0
327,2022-07-21 01:22:21,video,,41,6517378,AgADGgUAAtghyVY,,0,0
326,2022-07-21 01:21:48,video,,56,8930400,AgADGQUAAtghyVY,,0,0
325,2022-07-20 00:45:42,video,,35,4666043,AgADAQUAAtghwVY,,0,0
324,2022-07-20 00:44:50,video,,63,9390300,AgAEBQAC2CHBVg,,0,0
323,2022-07-20 00:22:11,video,,30,4845238,AgADRg0AAksfuVI,,0,0
322,2022-07-20 00:21:20,video,,74,11054859,AgADRQ0AAksfuVI,,0,0
321,2022-07-20 00:20:09,video,,15,2369161,AgADRA0AAksfuVI,,0,0
320,2022-07-20 00:19:48,video,,27,4239466,AgADQw0AAksfuVI,,0,0
319,2022-07-19 11:59:35,video,,28,4278720,AgAD7AsAAlYnuVI,,0,0
318,2022-07-19 11:58:59,video,,79,11586850,AgAD6wsAAlYnuVI,,0,0
317,2022-07-19 11:57:53,video,,92,14857339,AgAD6gsAAlYnuVI,,0,0
316,2022-07-19 11:56:53,video,,20,3269133,AgAD6QsAAlYnuVI,,0,0
315,2022-07-19 10:40:57,video,,24,3630798,AgAD8QYAAi8muFY,,0,0
314,2022-07-19 10:40:19,video,,128,19737160,AgAD7wYAAi8muFY,,0,0
313,2022-07-19 01:21:10,video,,85,13022998,AgADwwcAAi8msFY,,0,0
312,2022-07-19 00:57:51,video,,51,7641732,AgADAwsAAlYnsVI,,0,0
311,2022-07-18 15:15:55,video,,20,2811372,AgADTAoAAlYnsVI,,0,0
310,2022-07-18 15:13:33,video,,129,19650760,AgADSwoAAlYnsVI,,0,0
309,2022-07-18 11:17:38,video,,82,10754942,AgADuAYAAi8msFY,,0,0
308,2022-07-18 11:16:46,video,,49,7019914,AgADswYAAi8msFY,,0,0
307,2022-07-17 17:10:42,video,,57,8670874,AgAD9AYAAtEwoFY,,0,0
306,2022-07-17 16:03:21,video,,119,16763572,AgAD5QYAAtEwoFY,,0,0
305,2022-07-17 16:01:13,video,,80,12197720,AgAD5AYAAtEwoFY,,0,0
304,2022-07-17 15:59:30,video,,45,6761486,AgAD4wYAAtEwoFY,,0,0
303,2022-07-17 15:58:50,video,,85,11733731,AgAD4gYAAtEwoFY,,0,0
302,2022-07-17 15:57:01,video,,42,6825286,AgAD4QYAAtEwoFY,,0,0
301,2022-07-17 13:12:43,video,,82,11982951,AgAD0QYAAtEwoFY,,0,0
300,2022-07-17 13:11:32,video,,125,17304202,AgADzQYAAtEwoFY,,0,0
299,2022-07-17 13:11:23,video,,79,11171463,AgADzAYAAtEwoFY,,0,0
298,2022-07-17 11:32:01,video,,31,4705671,AgADkAYAAtEwoFY,,0,0
297,2022-07-17 11:31:08,video,,11,2379394,AgADjwYAAtEwoFY,,0,0
